,Date,Title,Cost GBP,Brand
0,2021-09-25,Shark S900 Dual Special Edition - Matt Black,129.99,Shark
1,2021-09-25,Scorpion Exo-1400 Air Carbon - Black,249.97,Scorpion
2,2021-09-25,Caberg Duke II - Matt Black,118.98,Caberg
3,2021-09-25,Caberg Duke II - Hi Vision Yellow,142.49,Caberg
4,2021-09-25,Roof Boxer V8 - Full Matt Black,209.98,Roof
5,2021-09-25,Shoei NXR - Matt Black,309.94,Shoei
6,2021-09-25,AGV K5-S - Mono Matt Black,251.99,AGV
7,2021-09-25,Nolan N21 Visor - Classic Flat Black,129.99,Nolan
8,2021-09-25,Shoei NXR - Gloss White,303.99,Shoei
9,2021-09-25,Arai Tour X4 - Diamond White,499.99,Arai
10,2021-09-25,Nolan N87 N-Com - Classic Metal White,179.98,Nolan
11,2021-09-25,AGV K1 - Gloss Black,116.99,AGV
12,2021-09-25,Bell Custom 500 DLX - Roland Sands Design Check It,189.99,Bell
13,2021-09-25,Scorpion ADX-1 - Matt Black,174.14,Scorpion
14,2021-09-25,Schuberth C3 Pro - Matt Black,359.99,Schuberth
15,2021-09-25,Shoei Neotec - Matt Black,399.99,Shoei
16,2021-09-25,AGV K5-S - Union Jack,269.99,AGV
17,2021-09-25,X-Lite X-803 Ultra Carbon - Puro Gloss Black Carbon,399.99,X-Lite
18,2021-09-25,MDS G240 - Gloss White,59.99,MDS
19,2021-09-25,Nolan N87 N-Com - Classic Flat Black,189.99,Nolan
20,2021-09-25,Shoei Neotec 2 - Blue Metallic,549.99,Shoei
21,2021-09-25,Scorpion EXO 490 - Matt Black,95.99,Scorpion
22,2021-09-25,Nolan N21 Visor - Classic Metal White,129.99,Nolan
23,2021-09-25,Shark Ridill 1.2 - Blank Black,88.23,Shark
24,2021-09-25,AGV RP60 - Matt Black,79.99,AGV
25,2021-09-25,Arai Tour X4 - Diamond Black,499.99,Arai
26,2021-09-25,Shoei GT Air 2 - Affair TC-6,549.99,Shoei
27,2021-09-25,Scorpion Exo Belfast - Matt Black,104.99,Scorpion
28,2021-09-25,Schuberth C4 Pro - Gloss White,349.98,Schuberth
29,2021-09-25,HJC I90 - Hollen Red / White / Blue,188.98,HJC
30,2021-09-25,AGV K5-S - Mono Gloss Black,251.99,AGV
31,2021-09-25,Schuberth C3 Pro - Gravity Blue,374.99,Schuberth
